2016-11-04,224,224,216,216,40000,216
2016-11-02,224,226,223,224,35000,224
2016-11-01,227,229,224,227,31000,227
2016-10-31,229,229,224,226,64000,226
2016-10-28,223,230,220,230,121000,230
2016-10-27,220,223,219,223,47000,223
2016-10-26,216,219,216,219,41000,219
2016-10-25,217,218,216,216,38000,216
2016-10-24,216,216,215,216,14000,216
2016-10-21,216,217,215,216,39000,216
2016-10-20,215,218,215,218,22000,218
2016-10-19,216,216,214,215,20000,215
2016-10-18,215,215,213,214,16000,214
2016-10-17,214,215,213,214,26000,214
2016-10-14,214,215,214,214,22000,214
2016-10-13,216,216,214,216,19000,216
2016-10-12,216,217,214,214,23000,214
2016-10-11,218,218,215,216,13000,216
2016-10-07,217,217,213,215,32000,215
