2016-11-04,1833,1840,1770,1770,38000,1770
2016-11-02,1914,1914,1878,1891,17800,1891
2016-11-01,1888,1922,1873,1919,12000,1919
2016-10-31,1921,1921,1855,1888,27700,1888
2016-10-28,1904,1954,1891,1928,106300,1928
2016-10-27,1895,1916,1872,1891,19200,1891
2016-10-26,1875,1902,1860,1897,18700,1897
2016-10-25,1898,1902,1874,1876,28300,1876
2016-10-24,1972,1972,1896,1898,57900,1898
2016-10-21,1963,2000,1955,1972,35400,1972
2016-10-20,1922,1978,1919,1978,27700,1978
2016-10-19,1871,1928,1866,1906,26000,1906
2016-10-18,1914,1924,1876,1885,26200,1885
2016-10-17,1805,1944,1805,1914,78700,1914
2016-10-14,1752,1824,1752,1820,23300,1820
2016-10-13,1753,1781,1740,1758,31300,1758
2016-10-12,1805,1811,1733,1746,44100,1746
2016-10-11,1776,1847,1776,1835,27200,1835
2016-10-07,1804,1804,1750,1770,26300,1770
