2013-10-31,152,154,151,152,939000,1520
2013-10-30,154,155,152,152,830000,1520
2013-10-29,153,154,153,153,411000,1530
2013-10-28,155,155,153,154,645000,1540
2013-10-25,154,154,152,152,944000,1520
2013-10-24,153,155,152,154,972000,1540
2013-10-23,158,158,154,154,936000,1540
2013-10-22,154,158,154,158,1368000,1580
2013-10-21,153,155,152,155,893000,1550
2013-10-18,152,153,151,152,1128000,1520
2013-10-17,153,155,152,152,1079000,1520
2013-10-16,151,153,151,152,1003000,1520
2013-10-15,156,156,151,152,991000,1520
2013-10-11,154,155,153,155,733000,1550
2013-10-10,154,155,152,153,508000,1530
2013-10-09,151,154,150,153,869000,1530
2013-10-08,150,152,147,151,1620000,1510
2013-10-07,157,158,151,151,1004000,1510
2013-10-04,154,156,152,155,1958000,1550
2013-10-03,158,159,151,151,2217000,1510
2013-10-02,162,166,158,159,2209000,1590
2013-10-01,164,165,161,161,1219000,1610
