2006-05-31,170,174,169,172,909000,172
2006-05-30,178,178,173,174,651000,174
2006-05-29,179,180,176,180,597000,180
2006-05-26,177,178,175,178,290000,178
2006-05-25,175,176,174,176,348000,176
2006-05-24,175,177,173,174,467000,174
2006-05-23,178,179,176,176,478000,176
2006-05-22,178,182,176,182,1173000,182
2006-05-19,174,176,172,176,423000,176
2006-05-18,172,175,171,174,507000,174
2006-05-17,175,177,172,176,595000,176
2006-05-16,179,179,173,173,429000,173
2006-05-15,174,179,174,178,427000,178
2006-05-12,177,178,175,176,532000,176
2006-05-11,179,180,178,178,357000,178
2006-05-10,182,183,178,179,826000,179
2006-05-09,183,183,181,181,330000,181
2006-05-08,184,184,181,183,402000,183
2006-05-02,184,184,182,182,440000,182
2006-05-01,181,185,180,184,609000,184
