,date,rate
0,2017-01-01,123.4
1,2017-01-02,122.92
2,2017-01-03,122.75
3,2017-01-04,122.64
4,2017-01-05,122.38
5,2017-01-06,122.83
6,2017-01-07,122.83
7,2017-01-08,122.83
8,2017-01-09,122.66
9,2017-01-10,122.84
10,2017-01-11,122.14
11,2017-01-12,121.69
12,2017-01-13,121.91
13,2017-01-14,121.91
14,2017-01-15,121.91
15,2017-01-16,120.91
16,2017-01-17,121.1
17,2017-01-18,121.05
18,2017-01-19,122.23
19,2017-01-20,122.47
