,date,rate
0,2017-01-01,84.544
1,2017-01-02,84.342
2,2017-01-03,85.32
3,2017-01-04,85.327
4,2017-01-05,84.98
5,2017-01-06,85.104
6,2017-01-07,85.104
7,2017-01-08,85.104
8,2017-01-09,85.436
9,2017-01-10,85.306
10,2017-01-11,85.766
11,2017-01-12,85.667
12,2017-01-13,85.701
13,2017-01-14,85.701
14,2017-01-15,85.701
15,2017-01-16,85.316
16,2017-01-17,85.511
17,2017-01-18,85.681
18,2017-01-19,86.608
19,2017-01-20,86.766
